dataset,policy,batch,budget,n,coverage,mean_k_lower,mean_k_upper,k20_lower,k20_upper,median_k_lower,p10_k_lower,empty_lower,empty_upper,at10_lower,at10_upper,at20_lower,at20_upper
msmarco-passage-trec-dl-2019,dibud,1,10000,43,0.3023255813953488,55.72093023255814,96.65116279069767,18.58139534883721,19.790697674418606,45.0,13.4,0.0,0.0,0.9534883720930233,1.0,0.813953488372093,0.9767441860465116
msmarco-passage-trec-dl-2019,dibud,64,128,43,1.0,9.953488372093023,9.953488372093023,9.651162790697674,9.651162790697674,9.0,2.2,0.0,0.0,0.4418604651162791,0.4418604651162791,0.09302325581395349,0.09302325581395349
msmarco-passage-trec-dl-2019,dibud,64,256,43,1.0,17.0,17.0,14.069767441860465,14.069767441860465,17.0,5.2,0.0,0.0,0.6976744186046512,0.6976744186046512,0.46511627906976744,0.46511627906976744
msmarco-passage-trec-dl-2019,dibud,64,512,43,1.0,28.302325581395348,28.302325581395348,16.046511627906977,16.046511627906977,25.0,7.0,0.0,0.0,0.8372093023255814,0.8372093023255814,0.5813953488372093,0.5813953488372093
msmarco-passage-trec-dl-2019,dibud,64,1024,43,1.0,37.51162790697674,37.51162790697674,17.302325581395348,17.302325581395348,30.0,9.2,0.0,0.0,0.8837209302325582,0.8837209302325582,0.6744186046511628,0.6744186046511628
msmarco-passage-trec-dl-2019,dibud,64,2048,43,1.0,45.58139534883721,45.58139534883721,17.88372093023256,17.88372093023256,34.0,10.4,0.0,0.0,0.9302325581395349,0.9302325581395349,0.7906976744186046,0.7906976744186046
msmarco-passage-trec-dl-2019,dibud,64,4096,43,1.0,51.093023255813954,51.093023255813954,18.209302325581394,18.209302325581394,39.0,13.0,0.0,0.0,0.9302325581395349,0.9302325581395349,0.7906976744186046,0.7906976744186046
msmarco-passage-trec-dl-2019,dibud,64,8192,43,0.4883720930232558,55.44186046511628,84.09302325581395,18.488372093023255,18.953488372093023,44.0,13.2,0.0,0.0,0.9534883720930233,0.9534883720930233,0.813953488372093,0.9069767441860465
msmarco-passage-trec-dl-2019,dibud,64,10000,43,0.3023255813953488,55.72093023255814,96.65116279069767,18.58139534883721,19.790697674418606,45.0,13.4,0.0,0.0,0.9534883720930233,1.0,0.813953488372093,0.9767441860465116
msmarco-passage-trec-dl-2020,balanced,1,128,54,1.0,10.333333333333334,10.333333333333334,9.833333333333334,9.833333333333334,9.5,3.0,0.0,0.0,0.5,0.5,0.09259259259259259,0.09259259259259259
msmarco-passage-trec-dl-2020,balanced,1,256,54,1.0,16.59259259259259,16.59259259259259,13.666666666666666,13.666666666666666,13.0,6.0,0.0,0.0,0.7222222222222222,0.7222222222222222,0.3333333333333333,0.3333333333333333
msmarco-passage-trec-dl-2020,balanced,1,512,54,1.0,23.24074074074074,23.24074074074074,16.203703703703702,16.203703703703702,20.5,8.3,0.0,0.0,0.8333333333333334,0.8333333333333334,0.5185185185185185,0.5185185185185185
msmarco-passage-trec-dl-2020,balanced,1,1024,54,1.0,29.72222222222222,29.72222222222222,17.537037037037038,17.537037037037038,28.5,10.0,0.0,0.0,0.9444444444444444,0.9444444444444444,0.6296296296296297,0.6296296296296297
msmarco-passage-trec-dl-2020,balanced,1,2048,54,1.0,34.907407407407405,34.907407407407405,18.333333333333332,18.333333333333332,32.5,13.0,0.0,0.0,0.9814814814814815,0.9814814814814815,0.7592592592592593,0.7592592592592593
msmarco-passage-trec-dl-2020,balanced,1,4096,54,1.0,41.72222222222222,41.72222222222222,18.87037037037037,18.87037037037037,37.0,15.0,0.0,0.0,0.9814814814814815,0.9814814814814815,0.7962962962962963,0.7962962962962963
msmarco-passage-trec-dl-2020,balanced,1,8192,54,1.0,45.111111111111114,45.111111111111114,19.166666666666668,19.166666666666668,42.5,16.3,0.0,0.0,1.0,1.0,0.8148148148148148,0.8148148148148148
msmarco-passage-trec-dl-2020,balanced,1,10000,54,1.0,46.68518518518518,46.68518518518518,19.25925925925926,19.25925925925926,44.0,17.0,0.0,0.0,1.0,1.0,0.8518518518518519,0.8518518518518519
msmarco-passage-trec-dl-2020,balanced,64,128,54,1.0,10.333333333333334,10.333333333333334,9.833333333333334,9.833333333333334,9.5,3.0,0.0,0.0,0.5,0.5,0.09259259259259259,0.09259259259259259
msmarco-passage-trec-dl-2020,balanced,64,256,54,1.0,16.59259259259259,16.59259259259259,13.666666666666666,13.666666666666666,13.0,6.0,0.0,0.0,0.7222222222222222,0.7222222222222222,0.3333333333333333,0.3333333333333333
msmarco-passage-trec-dl-2020,balanced,64,512,54,1.0,23.24074074074074,23.24074074074074,16.203703703703702,16.203703703703702,20.5,8.3,0.0,0.0,0.8333333333333334,0.8333333333333334,0.5185185185185185,0.5185185185185185
